STATE,BASS,COBIA,FLOUNDER,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTERS,SHRIMP,ABALONE,CLAMS,MUSSELS,SCALLOPS,SEA VEGETABLES
1,29.54,13.46,41.86,63.47,53.31,10.92,67.44,105.50,95.81,12.43,61.86,37.87,69.54,14.84
2,33.12,14.15,48.10,75.86,65.32,12.57,74.46,108.69,106.10,14.56,68.82,46.61,77.42,17.29
3,37.99,16.86,53.91,73.47,72.57,15.61,74.25,103.63,110.51,14.80,67.84,49.12,82.05,19.88
4,38.24,14.14,52.61,71.84,64.95,14.86,74.67,101.64,107.86,15.23,66.84,46.35,76.68,19.02
5,33.13,14.50,59.34,80.02,73.11,14.02,77.27,112.70,119.01,13.48,69.19,47.85,77.58,13.83
6,55.12,25.33,81.11,112.54,108.53,21.90,115.21,142.89,171.43,20.62,86.83,65.43,87.04,22.95
7,43.75,19.02,80.94,93.77,88.03,17.70,101.47,121.36,147.66,18.22,72.89,59.07,82.14,22.36
8,37.72,14.53,79.09,90.67,79.66,14.11,109.51,108.06,148.50,14.21,53.56,40.91,77.11,16.79
9,47.31,20.25,69.25,83.82,83.98,17.61,115.29,122.34,147.01,21.85,60.07,52.59,70.98,25.21
10,44.04,18.87,77.74,88.50,86.36,16.14,109.84,112.47,142.05,18.20,64.86,47.93,76.24,21.03
11,36.96,15.92,79.23,75.68,75.03,13.94,85.20,105.91,143.04,14.81,46.93,39.04,64.13,19.59
12,42.13,19.23,86.94,85.62,79.46,17.17,100.69,107.13,148.23,18.11,49.91,41.75,67.12,20.68
13,38.24,22.17,66.46,84.61,82.82,18.13,98.73,112.71,138.16,19.43,52.91,42.61,61.52,22.62
14,41.25,23.38,63.58,87.08,86.92,20.35,100.78,118.72,137.12,21.24,53.02,44.57,69.00,25.37
15,37.86,16.41,56.15,79.53,72.97,14.98,80.55,112.51,118.45,15.19,70.23,48.87,78.39,17.97
16,43.21,18.17,76.76,89.19,84.51,16.39,109.03,116.06,146.31,18.12,62.85,50.12,76.62,21.35
17,39.65,20.18,74.05,83.24,81.05,17.40,96.35,111.12,141.64,18.40,50.69,41.99,65.44,22.06
