STATE,BASS,COBIA,FLOUNDER,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTERS,SHRIMP,oc,ABALONE,CLAMS,MUSSELS,SCALLOPS,,SEA VEGETABLES,,B_F,B_C,B_M,B_S
1,29.5446927,13.4617564,41.8559783,63.4661247,53.3091398,10.9152047,67.4359673,105.5013333,95.8106667,14.0813953,12.433908,61.8638889,37.8689459,69.543662,11.8684211,14.8445748,,212.5528966,282.8293626,193.5788259,14.8445748
2,33.1232877,14.1514286,48.0962567,75.8602151,65.315508,12.5697674,74.4603175,108.687664,106.1023622,19.3976945,14.5610465,68.8164384,46.6106443,77.424581,15.1049563,17.2861272,,249.1164635,308.6480382,222.5176665,17.2861272
3,37.9886364,16.8600583,53.9085873,73.4684932,72.5722071,15.6094675,74.2472826,103.6276596,110.5106383,20.745509,14.8018018,67.840455,49.1158192,82.0530726,15.3384146,19.8802395,,270.4074498,309.1310895,229.1495632,19.8802395
4,38.2351351,14.1372549,52.6115486,71.8407311,64.953125,14.8614958,74.6710183,101.6393862,107.8618926,17.6666667,15.2303371,66.8432432,46.3453039,76.6774194,16.8813559,19.0226629,,256.6392905,301.8389638,221.9776595,19.0226629
5,33.1267606,14.4985836,59.3378747,80.016129,73.1140584,14.0203488,77.2654155,112.7038961,119.0103896,16.9770115,13.4841499,69.1873278,47.8531856,77.5833333,12.4355301,13.8338192,,274.1137551,325.9567127,220.5435267,13.8338192
6,55.1231231,25.3258065,81.1133144,112.5412088,108.5287671,21.9038462,115.2131148,142.8900524,171.4319372,29.4258065,20.6237624,86.8323864,65.431085,87.0365169,22.4174757,22.9512987,,404.5360661,458.9609109,282.3412264,22.9512987
7,43.7492958,19.0233918,80.9366391,93.772973,88.0269542,17.7048193,101.4672131,121.3560209,147.6649215,25.4941176,18.2195846,72.8870523,59.0676056,82.140056,17.3772455,22.3636364,,343.2140732,395.9822731,249.691544,22.3636364
8,37.7204301,14.531856,79.0894737,90.6701031,79.6640827,14.1120448,109.5066313,108.0579345,148.5012594,17.1551724,14.210674,53.5636856,40.9090909,77.1058201,14.4558405,16.7936963,,315.7879904,383.2209976,200.2451111,16.7936963
9,47.3106267,20.248538,69.253886,83.8229167,83.9793814,17.6086957,115.2949062,122.3432099,147.0148148,28.092437,21.847887,60.0734908,52.5898123,70.9793282,21.9342857,25.2148997,,322.2240445,412.7453679,227.424804,25.2148997
10,44.0431034,18.8727811,77.7423823,88.4986523,86.361413,16.1424149,109.8396739,112.4659686,142.052356,24.2890855,18.195195,64.863388,47.9261364,76.2445055,16.0568862,21.0299401,,331.660747,388.647084,223.2861111,21.0299401
11,36.9601064,15.922043,79.2318059,75.6762402,75.0284974,13.9445983,85.1978892,105.914787,143.0426065,18.931694,14.812672,46.9261214,39.0415584,64.1283422,13.9442897,19.5863014,,296.7632912,353.0869767,178.8529837,19.5863014
12,42.1311475,19.2320917,86.9386667,85.6157895,79.4550265,17.1719198,100.688172,107.1324675,148.225974,21.0823864,18.1082621,49.9115282,41.7493188,67.1226158,14.7774566,20.6791908,,330.5446417,377.1289999,191.6691815,20.6791908
13,38.2393162,22.1705202,66.4617486,84.6069519,82.8162162,18.1317365,98.7340426,112.7113402,138.1597938,22.5,19.4302326,52.9083558,42.6126374,61.5163043,18.2151163,22.6242775,,312.4264896,372.1051766,194.6826464,22.6242775
14,41.2548476,23.3764706,63.5828877,87.0773333,86.9166667,20.3501484,100.7792553,118.7226463,137.1246819,25.545977,21.2404692,53.0162602,44.5734072,68.997319,19.0238806,25.3695015,,322.5583543,382.1725605,206.8513362,25.3695015
15,37.85693927,16.40581472,56.15392667,79.53215032,72.96546757,14.98002173,80.54885267,112.5083319,118.4546478,19.71568058,15.18916762,70.23062328,48.87083065,78.38643087,15.67435895,17.96978705,,277.8943203,331.227513,228.3514114,17.96978705
16,43.205864,18.16914173,76.75559528,89.19116128,84.50795783,16.39199368,109.0271061,116.0557835,146.3083379,23.75770313,18.11833515,62.84690418,50.1231613,76.61742745,17.45606448,21.35054313,,328.2217138,395.1489306,225.1618926,21.35054313
17,39.64635443,20.17528138,74.05377723,83.24407873,81.0541017,17.39960075,96.34983978,111.1203103,141.6382641,22.01501435,18.39790898,50.6905664,41.99423045,65.44114533,16.4901858,22.0648178,,315.5731942,371.1234285,193.014037,22.0648178
