"","STATE","BASS","COBIA","DRUM","FLOUNDER","HALIBUT","ATLANTIC SALMON","PACIFIC SALMON","STURGEON","CRABS","LOBSTERS","SHRIMP","ABALONE","CLAMS","MUSSELS","OYSTERS","SCALLOPS","SEA VEGETABLES"
"1","1",26.01,4.83,2.07,44.52,57.78,63.07,38.61,7.13,63.28,85.7,84.27,6,71.74,43.42,41.86,76.09,10.78
"2","2",33.03,5.01,5.84,53.32,51.82,66.07,44.69,4.88,49.91,77,84.65,7.34,63.4,49.48,33.27,74.78,12.25
"3","3",31.22,4.17,4.27,54.56,50.06,62.37,45.17,4.57,50.77,69.75,81.2,5.82,64.36,49.47,37.53,70.19,8.87
"4","4",37.79,2.38,6.44,51.16,50.18,54.16,42.02,2.5,56.7,73.98,87.32,5.72,71.7,49.17,42.17,71.36,11.18
"5","5",32.36,5.24,4.41,57.21,50.74,65.44,53.47,4.87,56,70.75,87.96,6.15,68.79,48.58,41.25,69.78,13.9
"6","6",37.43,7.47,11.49,54.56,38.99,57.42,51.21,7.2,58.71,63.18,82.42,7.93,49.25,37.86,36.8,50.96,14.87
"7","7",33.98,6.05,8.88,75.97,41.83,56.35,44.49,8.35,63.97,69.07,86.29,6.78,50.98,40.09,30.71,61.76,13.44
"8","8",34.45,4.35,8.43,69.57,39.49,62.74,49.31,2.45,75.85,63.81,84.96,5.38,54.82,40.3,39.4,62.73,8.93
"9","9",37.71,5.62,9.45,60.9,41.68,58.94,57.23,7.68,78.34,61.03,84.77,5.81,40.95,39.88,46.31,54.35,14.92
"10","10",32.07,6.66,6.76,68.1,39.21,54.82,52.33,4.98,64.51,57.11,86.7,4.57,46.12,33.31,47.33,52.71,11.83
"11","11",29.16,6.38,11.12,76.94,42.24,54.73,50.77,5.17,67.95,59.7,87.85,5.49,44.57,30.04,51.91,59.45,11.01
"12","12",29.39,8.9,11.78,81.23,37.02,54.83,55,3.33,72.27,63.71,90.02,8.09,41.6,33.41,53.26,54.11,9.54
"13","13",25.32,4.61,7.52,60.09,39.61,49.77,48.44,4.26,62.87,59.88,89.46,6.79,35.86,26.93,40.14,44.44,11.76
"14","14",23.6,12.97,11.44,54.12,34.69,45.16,53.09,6.84,62.24,61.18,81.47,9.06,34.84,31.92,38.09,50.93,12.33
"15","15",32.97,4.85,5.75,52.55,49.93,61.42,45.86,5.19,55.9,73.39,84.64,6.49,64.87,46.33,38.81,68.86,11.97
"16","16",34.55,5.67,8.38,68.63,40.55,58.21,50.84,5.87,70.67,62.75,85.68,5.63,48.22,38.4,40.94,57.89,12.28
"17","17",26.87,8.21,10.46,68.09,38.39,51.12,51.83,4.9,66.33,61.12,87.2,7.36,39.22,30.57,45.85,52.23,11.16
