STATE,B_F,B_C,B_M,B_S,R_F,R_C,R_M,R_S,S_F,S_C,S_M,S_S
1,212.55,282.83,193.58,14.84,112.42,163.32,102.52,4.29,164.71,216.31,116.69,4.91
2,249.12,308.65,222.52,17.29,144.29,198.46,128.93,7.23,185.37,213.98,110.78,5.59
3,270.41,309.13,229.15,19.88,160.29,201.30,140.67,8.83,211.20,228.88,112.06,7.75
4,256.64,301.84,221.98,19.02,146.97,194.14,123.35,8.35,201.92,220.30,119.13,6.94
5,274.11,325.96,220.54,13.83,151.45,200.89,116.10,4.75,207.59,226.84,116.89,5.53
6,404.54,458.96,282.34,22.95,203.63,261.72,140.39,10.99,285.54,289.02,122.84,8.74
7,343.21,395.98,249.69,22.36,183.87,238.50,123.88,8.94,242.28,251.94,105.51,7.51
8,315.79,383.22,200.25,16.79,168.71,236.70,98.09,6.47,231.30,262.50,87.78,5.77
9,322.22,412.75,227.42,25.21,180.90,264.42,123.16,9.44,247.82,306.65,102.38,8.38
10,331.66,388.65,223.29,21.03,169.99,214.67,96.67,7.55,221.56,241.43,93.82,7.84
11,296.76,353.09,178.85,19.59,155.16,209.99,87.33,7.61,192.24,204.81,76.69,6.48
12,330.54,377.13,191.67,20.68,178.39,240.67,94.18,7.14,206.15,242.85,83.47,6.81
13,312.43,372.11,194.68,22.62,162.37,214.24,87.33,8.13,227.45,230.34,81.47,7.66
14,322.56,382.17,206.85,25.37,180.69,224.71,100.97,8.99,248.31,268.81,95.17,7.22
15,277.89,331.23,228.35,17.97,153.17,203.30,125.33,7.40,209.39,232.55,116.40,6.58
16,328.22,395.15,225.16,21.35,175.87,238.57,110.45,8.10,235.74,265.63,97.38,7.37
17,315.57,371.12,193.01,22.06,169.15,222.40,92.45,7.97,218.54,236.70,84.20,7.04
