STATE,WILD FINFISH,FARMED FINFISH,NO FINFISH PREFERENCE,WILD SHELLFISH,FARMED SHELLFISH,NO SHELLFISH PREFERENCE,WILD SEAVEGETABLES,FARMED SEAVEGETABLES,NO SEAVEGETABLES PREFERENCE
1,57.07,14.70,28.23,59.69,9.42,30.89,40.33,13.23,46.43
2,57.22,9.72,33.06,55.52,10.73,33.75,42.29,11.61,46.10
3,53.74,12.94,33.33,52.73,14.50,32.77,33.93,13.46,52.61
4,56.20,11.34,32.46,54.76,13.77,31.46,34.53,17.39,48.08
5,52.76,11.64,35.60,51.93,13.66,34.41,29.70,19.97,50.33
6,42.96,26.38,30.66,45.24,23.60,31.16,32.26,26.91,40.83
7,54.07,15.12,30.81,52.80,18.63,28.57,31.90,22.02,46.08
8,51.47,14.94,33.59,50.77,16.85,32.39,34.05,21.42,44.53
9,48.28,21.81,29.91,52.55,20.54,26.91,40.96,17.83,41.21
10,48.57,17.20,34.23,52.69,19.82,27.49,36.43,15.91,47.66
11,45.32,13.33,41.35,45.02,14.12,40.85,30.06,15.90,54.04
12,50.06,16.33,33.61,49.90,15.99,34.10,26.93,23.86,49.21
13,45.74,17.27,36.99,56.00,14.00,29.99,34.46,21.72,43.82
14,50.19,13.15,36.66,46.98,16.91,36.11,35.48,19.70,44.82
15,47.82,20.37,31.81,48.82,19.23,31.95,33.06,22.35,44.59
16,50.60,17.57,31.83,52.61,19.46,27.93,36.07,18.76,45.16
17,48.15,14.41,37.44,48.84,15.58,35.58,33.24,19.76,47.00
18,48.61,17.15,34.24,49.71,17.71,32.59,33.83,20.42,45.75
