STATE,SEA VEGETABLES,OTHER.MOLLUSKS,OYSTERS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTERS,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,FLOUNDER,COBIA,STRIPED BASS
1,14.01,10.46,47.74,70.38,41.27,60.8,11.63,14.1,94.95,102.68,65.25,28.15,12.54,11.1,46.64,62.28,39.46,11.89,26.58
2,17.17,15.16,50.19,80.1,52.39,74.5,13.8,19.34,108.59,109.81,70.78,33.72,12.35,13.41,68.27,79.11,54.88,14.91,40.33
3,21.47,18.21,53.57,85.87,47.57,70.19,13.89,23.14,107.87,98.19,76.21,32.09,17.69,16.07,78.27,77.79,57.09,18.61,38.75
4,16.4,14.97,50.44,80.67,50.26,70.19,14.38,15.15,117.51,106.88,80.87,29.45,13.98,14.15,63.43,70.39,57.09,13.52,49.19
5,14.61,9.9,55.29,82.65,59.3,69.38,14.91,16.3,122.42,115.56,74.45,39.96,15.02,11.48,72.74,79.52,59.01,14.11,37.52
6,21.33,22.43,60.46,88.23,62.05,86.21,20.4,28.75,170.55,144.64,112.36,46.13,26.99,21.13,102.84,111.66,82.03,24.23,53.52
7,20.48,15.8,49.28,79.71,56.19,71.01,16.01,23.98,154.19,126.52,102.21,28.68,18.68,16.42,92,97.5,79.51,18.02,43.43
8,15.41,11.85,59.68,84.5,47.32,57.83,11.42,13.66,147.44,115.93,105.84,29.31,13.61,10.98,91.54,104.95,86.81,12.07,41.75
9,30.38,24.52,68.75,85.08,59.57,71.18,28.78,33.42,162.13,140.25,124.87,47.41,26.19,20.75,96.4,94.65,80.3,25.55,58.81
10,20.63,15.37,55.43,76.1,47.15,66.12,17.67,25.5,147.94,118.32,113.58,40.02,23.75,17.98,84.36,87.63,80.9,18.8,50.91
11,17.31,11.09,44.07,68.26,39.69,48.43,12.73,16.81,134.07,101,78.37,31.42,18.3,11.84,77.65,80.55,79.86,13.58,41.32
12,24.95,18.21,63.03,71.8,46.13,63.52,21.28,24.66,150.88,119.19,112.13,45.12,24.01,19.18,84.42,89.78,102.08,25.9,54.84
13,22.04,18.03,51.9,62.88,40.66,51.79,19.97,21.19,149.27,126.95,107.27,32.93,21.46,15.33,90.09,94.28,68.6,23.78,48.16
14,23.47,17.6,50.69,69.01,43.12,52.52,20.57,24.65,136.96,121.95,97.78,46.61,25.04,18.94,83.7,85.37,65.38,23,44.33
15,19.96,19.06,57.18,85.85,57.1,79.07,17.52,24.66,145.63,127.94,96.32,40.62,17.99,87.34,89.56,96.6,70.62,20.55,46.8
16,22.89,17.75,56.83,80.12,53.7,68.88,19.7,26.54,153.91,126.95,111.67,37.46,22,17.82,90.61,93.76,80.48,19.9,49.65
17,21.92,16.29,50.84,67.83,42.13,52.69,18.75,22.13,140.53,118.14,97.11,40.1,22.6,16.56,83.79,86.74,73.23,21.32,45.66
18,21.51,17.53,54.33,76.63,49.71,65.11,18.58,23.97,145.33,123.43,100.26,39.66,22.26,17.32,87.3,91.64,74.04,20.74,46.89
