STATE,SEA VEGETABLES,OTHER.MOLLUSKS,SCALLOPS,MUSSELS,CLAMS,ABALONE,OTHER.CRUSTACEANS,SHRIMP,LOBSTERS,OYSTERS,CRABS,OTHER.FINFISH,DRUM,STURGEON,PACIFIC SALMON,ATLANTIC SALMON,HALIBUT,FLOUNDER,COBIA,STRIPED BASS
1,5.07,4.22,57.16,22.9,42.95,3.82,4.85,86.68,96.28,23.19,43.55,24.3,4.4,3.52,32,59.59,31.65,33.09,3.55,11.7
2,5.9,4.87,51.73,21.17,33.21,4.85,6.97,94.21,83.33,18.06,39.79,24.73,5.56,4.24,46.53,58.85,33.13,38.2,5.53,16.31
3,7.74,4.55,54.55,22.77,39.05,5.75,7.59,105.38,83.48,26.61,49.74,27.44,4.91,4.48,53.33,72.34,33.12,42.17,4.98,18.53
4,7.13,5.77,52.45,21.03,40.6,5.06,8.12,107.86,80.33,25.27,49.44,24.3,5.99,3.78,42.2,61.86,29.36,53.37,4.72,20.46
5,4.71,3.01,54.79,20.1,37.69,3.8,5.15,114.46,78.23,24.97,51.88,24.54,4.18,3.92,58.78,72.16,28.92,44.82,4.48,16.56
6,8.75,6.56,47.63,23.43,38.82,6.26,9.69,129.96,78.03,27.62,69.65,30.28,7.93,6.96,71.31,85.9,31.66,55.5,7.32,25.48
7,7.64,6.54,45.41,21,29.73,5.9,7.82,122.16,71.4,19.96,59.32,21.69,6.31,7.1,64.84,65.93,25.1,58.07,5.55,21.18
8,4.83,4.32,51.36,17.42,27.96,3.52,4.9,130.91,65.08,27.64,85.68,33.42,6.48,4.62,70.12,96.05,28.65,60.44,4.81,20.93
9,11.31,5.89,50.61,22.91,34.76,6.33,9.81,143.74,77.4,34.36,104.78,29.55,8.9,5.92,77.54,88.08,33.23,59.25,9.18,28.19
10,7.67,5.23,40.83,17.31,26.89,6.09,7.05,103.51,56.79,28.17,67.48,23.01,6.63,5.17,59.12,63.03,22.65,54.93,5.93,17.26
11,5.65,4.09,35.16,11.83,20.94,2.96,5.22,92.17,49.73,21.64,52.47,21.03,5.28,3.6,51.01,53.33,19.35,48.29,5.02,13.16
12,7.43,5.39,42.71,18.81,35.48,6.3,8.43,129.2,71.5,31.55,79.96,22.11,8.72,6.22,54.8,66.83,25.22,63.53,7.16,23.99
13,7,3.97,41.51,14.53,26.14,4.7,5.93,123.94,65.9,27.63,62.76,24.25,7.63,5.29,55.16,62.4,24.75,51.24,6.69,21.2
14,6.64,4.84,40.05,17.76,25.77,5.23,7.61,121.82,76.25,26.01,69.38,27.7,7.01,5.55,66.05,74.02,28.12,51.46,7.55,21.48
15,7.7,5.49,50.52,22.72,38.73,5.63,8.32,119.39,80.21,26.42,60.61,28.36,6.49,5.67,62.65,78.7,31.66,49.85,6.13,21.77
16,8.41,5.84,45.39,20.03,29.94,5.97,7.91,121.98,67.79,26.49,74.38,24.53,7.02,6.06,66.4,71.99,26.5,57.41,6.52,21.52
17,6.58,4.54,39.58,15.82,25.89,4.71,6.8,116.63,67.63,25.97,65.35,24.8,6.94,5.12,59.03,66.11,25.06,52.03,6.72,19.77
18,7.37,5.15,44.47,19.04,30.95,5.3,7.55,118.77,71.72,26.24,65.8,25.89,6.81,5.51,61.93,71.62,27.55,52.54,6.48,20.82
