STATE,BASS,COBIA,FLOUNDER,HALIBUT,ATLANTIC SALMON,PACIFIC SALMON,STURGEON,CRABS,LOBSTERS,SHRIMP,other,ABALONE,CLAMS,MUSSELS,SCALLOPS,other,SEA VEGETABLES,,R_F,R_C,R_M
1,9.3792135,2.3558824,18.1086957,20.2017045,35.5576923,23.989071,2.8230088,32.0666667,66.3081232,60.1162162,4.8262108,2.9594203,34.6457143,18.3704735,43.4028571,3.1387283,4.2857143,,112.4152682,163.3172169,102.5171935
2,11.8366197,3.4721408,22.7786885,20.2099125,44.9364641,37.3719008,3.6815476,41.6793478,70.9338843,79.8297297,6.0207101,3.382263,43.374269,23.1930836,55.32,3.6646707,7.2274052,,144.287274,198.4636719,128.9342863
3,15.5377907,4.7865854,29.3669468,19.5462687,47.2159091,38.8753541,4.9659443,39.6073446,74.6912181,80.1281337,6.8734568,4.4677419,49.2899408,25.0887574,56.2325581,5.5900621,8.8302469,,160.2947991,201.3001532,140.6690603
4,13.460274,4.2804533,27.3243968,21.6857923,42.9155673,33.0422164,4.2608696,42.015873,67.061008,78.7716535,6.2936047,5.4783862,40.115493,23.5874317,48.5245902,5.6485714,8.3485714,,146.9695697,194.1421392,123.3544725
5,13.1685393,3.2063037,30.8125,19.5014409,43.3251366,38.5917808,2.8430233,45.0840108,65.760989,85.2666667,4.7758621,3.3586006,39.8547009,20.6956522,48.5938375,3.5947522,4.747093,,151.4487246,200.8875286,116.0975434
6,18.0196078,5.7038328,40.8647059,22.9262821,58.5221239,51.7957958,5.7931034,61.4298246,88.2386364,103.3135593,8.7331081,6.1631944,48.5598802,29.5078864,50,6.1586207,10.9900662,,203.6254517,261.7151284,140.3895817
7,15.3352941,4.791411,45.06,20.4273256,51.2197183,42.5371429,4.496875,60.9157303,71.1260274,98.7688022,7.6871166,5.1635802,37.5779037,27.4678363,48.6327684,5.0415335,8.9376947,,183.8677669,238.4976765,123.8836221
8,12.5512465,3.4657143,41.7299465,18.2794521,48.6068602,40.9285714,3.1514286,68.5821727,61.707124,100.408377,6.0027933,3.7159091,30.0894309,18.5589041,41.7320955,3.9914286,6.4657143,,168.7132196,236.700467,98.0877682
9,16.6051136,4.4707692,37.7181572,20.9774648,49.2918919,46.2005495,5.6371951,88.3165266,70.0765172,98.8687664,7.1550152,5.5368098,37.5851064,25.3918129,48.7466667,5.9018405,9.4447761,,180.9011413,264.4168254,123.1622363
10,14.6666667,4.9571865,36.2209632,21.9545455,46.9779006,41.2562674,3.9589905,60.3651685,61.0495868,86.816156,6.4363636,4.7962963,27.5069638,20.0771429,39.1516854,5.1424149,7.5487805,,169.9925204,214.6672749,96.6745033
11,12.5555556,4.0795455,45.7977839,14.7972603,37.125,36.8381963,3.9651163,55.172973,58.7832898,89.4986595,6.5391061,3.8468208,25.6151762,16.75,36.6420765,4.4727794,7.6079545,,155.1584579,209.9940284,87.3268529
12,12.3109244,4.9706745,50.446281,16.1278409,52.2053333,38.4269972,3.9063444,62.9726776,64.1671159,107.1793478,6.352071,4.9376855,26.0572207,17.1036415,40.9256198,5.1533923,7.1408046,,178.3943957,240.6712123,94.1775598
13,12.0988372,4.847561,32.0940171,16.9446064,49.0081967,43.4751381,3.90625,54.3203343,57.7622951,95.8930481,6.2598187,4.1724138,24.2960894,17.1965318,36.7131148,4.9513678,8.1325301,,162.3746065,214.2354962,87.3295176
14,16.4005764,5.9367089,36.8728814,22.3732194,49.5767045,45.0198864,4.5095541,57.3342618,68.9455041,90.8555858,7.5784615,5.1459627,27.6179775,21.2052023,41.2258953,5.7795031,8.9878049,,180.6895311,224.7138132,100.9745409
15,13.5670075,3.967533067,28.20932228,20.67856683,45.41214888,37.27768648,4.0612495,43.64717792,72.16564317,81.23765985,6.253825433,4.301601067,42.6399997,23.40721413,50.34564048,4.632567567,7.4048495,,153.1735145,203.3043064,125.3270229
16,14.78958023,4.42127025,40.18226673,20.409697,49.02409275,42.7306328,4.3111223,69.54489953,65.98981385,96.2155254,6.820322175,4.80314885,33.1898512,22.87392405,44.565804,5.019304375,8.0992414,,175.8686621,238.570561,110.4520325
17,13.3414734,4.958622475,41.30274085,17.56073175,46.97880863,40.9400545,4.0718162,57.45006168,62.41455123,95.8566603,6.682364325,4.5257207,25.89661595,18.0638439,38.8766766,5.08926065,7.967273525,,169.1542478,222.4036375,92.4521178
