"","STATE","C_F","C_C","C_M","C_S","P_F","P_C","P_M","P_S","A_F","A_C","A_M","A_S"
"1",1,30.48,28.68,40.97,10.78,3.74,4.16,4.1,3.87,2.34,3.66,3.16,1.97
"2",2,32.85,28.52,39.23,12.25,3.45,3.96,3.77,3.29,2.46,3.49,3.13,1.94
"3",3,32.14,28.44,38.72,8.87,3.56,4.18,3.8,3.41,2.56,3.52,3.11,2.04
"4",4,30.72,29.17,41.6,11.18,3.59,4.02,3.98,3.54,2.64,3.71,3.32,2.03
"5",5,33.52,30.71,40.49,13.9,3.8,4.12,3.85,2.91,2.75,3.73,3.32,2.03
"6",6,31.77,33.06,31.37,14.87,3.71,4.13,3.77,3.39,2.68,3.43,2.95,2.33
"7",7,33,38.72,32.84,13.44,3.88,4.13,3.98,3.6,2.66,3.49,2.99,2.09
"8",8,33.72,39.55,34.26,8.93,3.52,4.03,3.85,3.25,2.73,3.72,3.07,2.04
"9",9,33.44,38.58,31.71,14.92,3.64,4.16,3.93,3.8,2.72,3.59,3.02,2.34
"10",10,32.03,36.51,31.46,11.83,3.75,4.24,3.71,3.63,2.58,3.35,2.71,2.04
"11",11,33.58,40.6,32.68,11.01,3.86,4.16,3.77,3.89,2.45,3.2,2.53,1.84
"12",12,33.5,43.54,32.31,9.54,3.87,4.31,4.01,3.32,2.53,3.36,2.69,1.8
"13",13,28.63,33.77,26.01,11.76,3.94,4.04,3.89,2.99,2.44,3.34,2.49,1.91
"14",14,29.68,35.19,28.24,12.33,3.75,4.23,3.85,3.55,2.66,3.46,2.79,2.23
